id,severity,type,area,title,effort,zoo,previous,persona_file,recommendation
P06-3,P1,improvement,findings,No durable owner/SLA on findings except AcceptedRisk; priority-unowned is half-finished,M,no,U-11 | Practitioner Monday rail,06-blue-teamer.md,Allow optional `ownerId` (+ optional `dueAt`) on any disposition; surface owner chip on list; make priority-unowned meaningful; add “My queue” saved view.
P06-4,P2,feature,findings,FalsePositive / Suppressed dispositions are labels only — no detection-engineering feedback loop,L,no,none,06-blue-teamer.md,On FalsePositive: require reason code (module noise / scope wrong / already mitigated / correlator); optional link to control technique; emit webhook `finding.disposition_changed` already in audit — extend **webhook catalog** + dashboard FP rate by module/fingerprint; suggest Suppress-by-fingerprint for N days (policy-bound).
P06-5,P0,improvement,engines,Closed control inject→telemetry loop still hard-disabled on control-plane API,L,no,U-23-adjacent | Slice 5 Control effectiveness,06-blue-teamer.md,Ship one **policy-bound** inject path: approved ControlValidation mission → allowlisted BASLite stimulus on verified scope → observeControl window → verdict + evidence receipts. Keep Atomic/Caldera live off. UI must label dry-run vs stimulated runs.
P06-6,P1,bug,integrations,Multiple SIEM mocks stamp technique-only placeholder ControlObservations — coverage theater risk,M,no,none | Blue prior SIEM Beta note,06-blue-teamer.md,UI: always show control-source health + `mockMode` badge + evidence basis on coverage tiles. Never aggregate mock observations into executive “% covered.” Prefer non-mock or “fixture-backed detect payload” for remaining SIEMs; live-smoke gate top-5 SIEM/EDR pairs.
P06-7,P1,bug,remediation,Create ticket missing on remediation detail (API + client exist; snapshot has CTA),S,no,U-12,06-blue-teamer.md,Add “Create ticket” panel on detail when `!ticketId`; integration picker (default Jira Cloud); reuse `createRemediationTicket`; keep sync honesty (“external close ≠ Fixed”).
P06-8,P1,improvement,api,Webhook catalog too thin for SOC automation — `policy.denied` subscribeable but not emitted; no remediation.verified,M,no,U-08 | U-21,06-blue-teamer.md,"Either emit `policy.denied` on deny decisions or remove from catalog. Add `remediation.verified` (payload: outcome, measuredRevalidation, remediationId) and optionally `finding.disposition_changed`. Document payload contracts."
P06-9,P1,improvement,nav,Threat Center / Threat Feed / Signal Activity / Validation Ops / Schedules fragment one blue job,L,yes,U-23 | U-03,06-blue-teamer.md,"Merge into **Continuous Validation** hub: tabs Plan (threat+signals), Run (schedules+due), Health (runners+control sources+validation-ops metrics). Demote raw Validation Ops and Threat Feed under hub. Keep ATT&CK catalog secondary."
P06-10,P2,improvement,ops,"Schedules lack run history, failure reasons, and change-window integration depth",M,no,Slice 8 Continuous validation ops,06-blue-teamer.md,"Persist schedule run records (scheduledAt, outcome, missionId, deny reason, blackout skip); show last 10 on schedule detail; deep-link mission; optional webhook on schedule.failed."
P06-11,P2,feature,engines,Signal triggers are a fixed four-rule catalog — not customer detection content,M,no,none,06-blue-teamer.md,"Keep non-queueing approve. Add tenant-configurable enable/disable + routing (partially present) and **parameterized thresholds** (e.g. min priority, technique allowlist) before full rule DSL. Document explicitly “not a SIEM correlation engine.”"
P06-12,P1,bug,runners,Runner status stays Active while UI-only staleness is the only honesty signal,M,no,none,06-blue-teamer.md,Server-side status transition Active→Stale/Offline after threshold; block schedule dispatch with clear `runner_fleet_unhealthy`; surface on Validation Ops + Schedules prerequisites. Keep kill switch as separate control (already strong).
P06-13,P2,improvement,remediation,Fix retest module selection is keyword-family-based — measured Fixed hard for many exposures,L,no,none | protect Fixed honesty,06-blue-teamer.md,Prefer **original module set** from source mission/evidence when available; family map as fallback. UI: show “why Inconclusive” (no measured prior / module mismatch). Schedule FixVerification only when retest path can be measured.
P06-14,P1,improvement,nav,Feature zoo on primary rail crowds out the blue daily driver,M,yes,U-03 | U-16 | Wave A packaging,06-blue-teamer.md,Persona or “SOC program” rail preset: Dashboard · Missions · Paths · Findings · Controls · Remediation · Schedules · Runners · Integrations · Reports (+ Admin). Move Autonomous + MCP + Swarm + Model surfaces to Labs. Single nav source (U-03).
P06-15,P2,improvement,findings,Default view is “All” not Active/untriaged — anti-pattern for shift start,S,no,U-11 Active queue default,06-blue-teamer.md,Default `new-untriaged` or disposition=none + non-terminal validation states; persist last view per user; keep All one click away.
P06-16,P2,feature,integrations,No bi-directional SIEM case / notable close path,L,no,Competitive co-exist theme,06-blue-teamer.md,Do **not** become a SIEM. Offer optional outbound: on Escalated → create/link case (workflow connector); on FalsePositive/Suppressed → comment-only webhook. Document non-goals for bi-directional close.
P06-17,P2,improvement,evidence,Disposition keys remain findingId not fingerprint — group absorb can orphan triage decisions,L,no,U-11 | Slice 4,06-blue-teamer.md,"Slice 4 follow-up: migrate disposition unique key to `(tenantId, fingerprint)` or copy disposition onto representative and freeze member ids in metadata; UI shows “disposition inherited from group.”"
P06-18,P3,innovation,ops,Blue “shift pack” — single morning brief API + page for validated program health,M,yes (replaces sprawl with one job surface),Practitioner Monday rail | Wave A Needs you,06-blue-teamer.md,"Innovation: `/shift` or Dashboard “Blue shift” card: (1) untriaged count, (2) accepted-risk expiring 7d, (3) schedules due/failed 24h, (4) stale runners, (5) control Missed/Logged-only top techniques, (6) remediations verification-pending. One refresh, deep links only."
P06-19,P2,request,security,Practice/drill mode for kill switch + denied-task visibility in SOC runbooks,S,no,none | protect safety floor,06-blue-teamer.md,"Documented drill: issue kill switch, attempt schedule run-now, show denied/halted audit + UI; export evidence pack snippet “Safety control exercised.” Optional quarterly reminder on Trust & Safety."
P06-20,P1,improvement,compliance,Control “Logged only” / Needs tuning not auto-mobilized into findings or tickets,M,no,Slice 5  ---,06-blue-teamer.md,“Create detection-eng ticket” / remediation-style task from technique row (Logged only / Missed) via workflow connector; optional finding category ControlGap with fingerprint per technique+source.
P07-1,P0,improvement,nav,Dual navigation configs still co-exist,M,yes,U-03,07-steve-jobs.md,Single source of truth (`primary-nav`). Delete `APP_NAV_SECTIONS` / `AppNavigation` or reduce to a thin re-export. Rewrite tests against the slim daily rail + Labs map.
P07-2,P0,improvement,nav,"Primary rail is a vendor booth, not a daily tool",M,yes,U-03,07-steve-jobs.md,"Default daily rail ≤10: Dashboard · Missions · Paths · Findings · Remediation · Schedules · Runners · Integrations · Reports · Evidence (+ Admin/Trust). Everything else: Labs, Govern drawer, or persona unlock."
P07-3,P0,improvement,ai-agents,Autonomous theater on the primary rail,S–M,yes,U-16,07-steve-jobs.md,Remove Autonomous group from default rail. Rename swarm page to “Live activity” under Missions or Labs. Ban “swarm” / “autonomous agents” in H1 until real multi-agent objects exist. Keep empty honesty; kill the marketing.
P07-4,P0,improvement,copy,Three competing proof-loop vocabularies,M,no,U-02,07-steve-jobs.md,"Pick **one** 4–6 step public language (prefer essence: See → Validate → Fix → Prove → Repeat). Map CTEM internally if needed. Update radar, ProofLoopContext, dashboard, welcome outcomes, help to the same words."
P07-5,P1,improvement,onboarding,Dual first-run stories,M,yes,U-09,07-steve-jobs.md,One onboarding spine: 3 steps hero; milestones as expandable “full program checklist.” Link Getting Started from GetStarted only. Remove dual progress display or make them nested (setup ⊂ program).
P07-6,P1,improvement,design-system,Dashboard is an airport terminal,L,yes,theme: Needs you good / nav kills it,07-steve-jobs.md,"Post-activation dashboard default: (1) Needs you ≤4 cards, (2) Top path to break, (3) Fixes ready to verify / proof CTA. Collapse charts and CTEM behind “Program health.” Persona variants can add Executive tiles for leaders only."
P07-7,P1,bug,copy,Findings H1 says “Validated Results”,S,no,U-03 (label drift),07-steve-jobs.md,H1 = **Findings**. Subcopy may say “evidence-backed validated exposure.” Delete “Exposure” from any remaining config.
P07-8,P1,improvement,copy,Missions vs Validation Snapshot schizophrenia,S,no,U-02,07-steve-jobs.md,Rail: **Missions**. Artifact: “Snapshot / report” after completion. Keep PRD module name in docs; UI speaks Missions → Snapshot report.
P07-9,P1,improvement,other,Proof-loop Packs are over-abstraction,M,yes,theme: freeze surface / sell wedge (Horowitz),07-steve-jobs.md,"Kill nav entry. Surface prerequisites on Missions, External Validation, AI Apps empty states. Optionally keep `/packs` as deep-link admin readiness for MSSP — not a daily noun."
P07-10,P1,improvement,nav,Investigate group is a second product catalog,S,yes,U-03,07-steve-jobs.md,"Investigate daily: Paths, Findings, Evidence. Controls as third if BAS is ICP. External Validation / AI Apps / NHI unlock or Labs. Assets & Scope as primary only after Slice 6 ships as *the* home — until then under Operate/setup."
P07-11,P1,improvement,other,Intel triad is feature zoo,M,yes,U-23,07-steve-jobs.md,One **Threats** route with Feed | Advisories | Techniques tabs. Single deep link from Needs you.
P07-12,P1,improvement,engines,Validation Ops + Signal Activity + Missions triple home,M,yes,U-23,07-steve-jobs.md,Missions = runs. Runners = agents. Schedules under Operate (not Remediate). Demote Validation Ops / Signal Activity to tabs or Labs.
P07-13,P2,improvement,copy,Schedules filed under Remediate,S,yes,theme: copy ↔ control honesty (UI eng),07-steve-jobs.md,Move Schedules to Operate (or Prove). Remediate holds Remediation only (+ optional ticket integrations later).
P07-14,P2,improvement,design-system,First-run radar vs swarm radar = brand confusion,M,yes,U-16,07-steve-jobs.md,"Keep *one* radar: preferably first-run only. Swarm page: list + status, no fake scope theater — or a non-radar viz."
P07-15,P2,feature,onboarding,Hero loop is not productized as a guided path,L,no,theme: unify loop vocabulary / hero sentence,07-steve-jobs.md,Post-first-mission coach marks: “Open your top path” → “Disposition the finding” → “Verify the fix” → “Export proof.” Persist completion; do not invent new nav items — overlay the seven hero screens.
P07-16,P2,improvement,gtm,Compliance parked in Prove group,S,yes,none,07-steve-jobs.md,"Compliance → Govern or GRC persona allow-list only. Prove: Dashboard, Missions, Reports (and maybe Evidence)."
P07-17,P2,improvement,design-system,Lifecycle nav still teaches the full zoo via “Show all”,M,yes,U-03,07-steve-jobs.md,"Even Mature default rail stays ≤10; “Show all” reveals Labs. Persona allow-lists for Leader/GRC/MSSP are good — extend Engineer to a slim daily set, not full catalog."
P07-18,P2,improvement,copy,Assets & Scope labeled “Data fabric” in spirit,M,no,none,07-steve-jobs.md,Prefer `/scope` or `/assets` route alias; rename workbench language to Scope & assets. “Fabric” is internal only if at all.
P07-19,P2,innovation,other,One-button “Break the cheapest link” moment missing,L,no,U-05,07-steve-jobs.md,On top path card: primary CTA “Inspect weakest hop” → detail with one recommended breaker + measure/retest. Fix hop CTA deadlock first so the button never lies.
P07-20,P2,improvement,design-system,Dual workbenches / orphans multiply anti-taste,M,yes,theme: one chrome (UI eng),07-steve-jobs.md,Delete or `_archive/` orphans; one component per route; tests only on mounted surface.
P07-21,P3,improvement,gtm,Tagline stack is good — hierarchy is not,S,no,theme: one hero sentence,07-steve-jobs.md,"**Master:** Prove your defenses work. **Essence (internal + hero):** See → Break → Re-run → Prove. **Kill:** swarm-as-tagline. Use “Hacker On Your Side” only in chrome footer/marketing, not as a third product definition."
P07-22,P3,request,performance,Silent multi-fetch partial failure looks like empty peace,M,no,theme: honesty architecture  ---,07-steve-jobs.md,Degraded banner standard on every multi-fetch board; never paint empty as success without “last updated / partial.”
P08-1,P0,improvement,gtm,Force a single ICP wedge and refuse audience sprawl,S,yes,theme (Jobs hero sentence + Horowitz freeze surface),08-ben-horowitz.md,"Written GTM rule: **primary ICP = mid-market / upper-mid security leader + one engineer who runs one measured loop this week.** MSSP is expansion only after that loop is productized. AI product teams / multi-BU enterprise / GRC-first = later. Put the rule in sales kit and release notes, not just the ICP roadmap."
P08-2,P0,improvement,gtm,Wartime sales motion does not exist yet — protocol is not a pipeline,M,no,U-25 (references) + Wave A packaging themes,08-ben-horowitz.md,Wartime motion this quarter: (1) Land = Snapshot on *their* verified domain + one real connector; (2) Weapon = measured fix-verification demotion of Fixed; (3) Close artifact = audience-specific evidence pack; (4) Expand only after one verified fix; (5) Quota = design partners completing north-star loop without a Periscan narrator — not ARR theater.
P08-3,P0,bug,gtm,Feature zoo on primary rail is GTM poison,M,yes,U-03 | U-16,08-ben-horowitz.md,Persona primary rail ≤ ~10 items for new tenants: Dashboard · Missions · Paths · Findings · Remediation · Schedules · Runners · Integrations · Reports · Evidence (+ Admin). Autonomous + MCP + Model Gateway → Labs until loop is boring. Single nav source.
P08-4,P0,improvement,gtm,"Billing is a ledger without a bank — treat NotConfigured as wartime honesty, not silent readiness",S (policy/comms); L if processor later,no,U-19 | synthesis “Self-serve payment processor before invoice design partners”,08-ben-horowitz.md,Explicit external GTM status page language: “Invoice / approval-reference design partners only.” Do **not** build payment processor until two paid invoice conversions are boring. Keep fail-closed entitlements. Instrument sales CRM of approval refs → package activations.
P08-5,P1,improvement,gtm,Packaging is architecturally right and commercially unfinished,M,no,theme (commercial strategy lag — Forrester 13),08-ben-horowitz.md,"Private three-band desk: (A) Snapshot design partner floor, (B) Core continuous with meter caps, (C) MSSPPartner priced primarily on **ClientTenants + EvidencePacks + ShortTermAssessments**. Enterprise = SSO/private runners/retention/API — not full catalog dump. Still no public rate card until ICP closed."
P08-6,P1,feature,mssp,MSSP multi-tenant is a real asset sold too early as existence proof,M (GTM + one dogfood); isolation matrix residual = L,no,synthesis MSSP architecture excellent + premature primary GTM,08-ben-horowitz.md,"Sequencing non-negotiable: (1) one org buyer completes Snapshot → fix verified → pack; (2) productize exception queue; (3) then MSSPPartner with **isolation proof report** as leave-behind; (4) never let MSSP pull custom BAS theater. Dogfood: one partner, two child tenants."
P08-7,P0,competitive,competitive,Moat is truth architecture — breadth and theater are anti-moats,S (positioning) + ongoing claim discipline,yes,U-26–U-31 competitive map,08-ben-horowitz.md,"Wartime one-liner forced in every deck: *“Periscan is the proof layer on top of the tools you already bought. We don’t replace Wiz or Tenable. We show which findings are reachable, whether controls fired, and whether the fix stayed fixed — with evidence you can hand a board without lying.”* Remove any pillar from the sentence that is still scaffold. Co-sell/integrate; never replace."
P08-8,P0,request,gtm,Design-partner path is built; evidence of learning is not,"M (execution, not code)",no,U-25 | Wave C item 19,08-ben-horowitz.md,CEO-owned calendar: five sessions in 30 days; publish anonymized pass/fail scorecard; kill any feature request not on Snapshot → Verify path until five partners convert or churn with documented reasons. No substitutes.
P08-9,P0,request,competitive,Zero customer references → Wave market presence fail,L (sales + customer success) / S (KPI instrumentation),no,U-25,08-ben-horowitz.md,Reference factory: target **three** production design partners with signed reference-call permission before any Wave questionnaire. Stop MQ/Wave GTM spend until that gate. Track “referenceable production tenants” as a KPI next to north-star loops.
P08-10,P1,improvement,gtm,Hard vs fake hard — company still spends peacetime calories,S (governance),yes,synthesis “Explicitly do not prioritize”,08-ben-horowitz.md,Explicit “do not prioritize” list already in prior synthesis — enforce with eng freeze: no net-new connectors/modules outside Snapshot path; no live Caldera/Atomic/SharpHound; no payment processor; no public Marketplace until two invoices boring. Review every epic as hard vs fake hard in weekly wartime staff.
P08-11,P1,improvement,gtm,Freemium LightExternalScan is a strategic trap if productized as Tenable-lite,M,no,U-30,08-ben-horowitz.md,"Either (a) keep freemium gated as teaser that ends in Snapshot upgrade CTA with measured path proof, or (b) disable public freemium until design-partner ACV is proven. Never compete on scan volume."
P08-12,P1,improvement,gtm,First sellable MVP is correct — product surface does not enforce it,M,yes,U-09 dual first-run,08-ben-horowitz.md,Empty-tenant and design-partner mode: progressive disclosure locked to §19 sequence; packs/catalog depth after first verified fix. Sales deck = §19 only.
P08-13,P1,feature,gtm,Private pricing bands and conversion ops missing as first-class GTM system,M,no,none,08-ben-horowitz.md,"Lightweight deal desk runbook + CRM fields: band, floor, packageKey, meters expected, approval ref, support owner, next expansion trigger. Optional later: admin-only internal pricing notes API — not public prices."
P08-14,P1,improvement,mssp,MSSPPartner packaging does not encode unit economics for partners,M,no,theme (MSSP billing premature),08-ben-horowitz.md,"Partner sheet (private): per ClientTenant floor, EvidencePacks included, ShortTermAssessments pack price, white-label included, PSA ticket included. Commerce still invoice. Product: show meter burn clearly in portfolio for partner QBR truth."
P08-15,P1,competitive,competitive,Why-now window is real; company GTM is not in the window,S (narrative) + M (pilot execution),yes,synthesis competitive position one-slide,08-ben-horowitz.md,"Narrative + first measured loops **this quarter**, not feature parity later. Sales only demo Fully-E2E + honest Partial with labels. Use competitor tools as inputs in every pilot."
P08-16,P2,improvement,gtm,Enterprise SKU is a kitchen sink — packaging anti-pattern,M,yes,U-19 enterprise gaps (SCIM etc.),08-ben-horowitz.md,"Redefine Enterprise as add-on/governance layer (SSO/SCIM path, private runners, retention, advanced API, multi-BU) on top of Core/Control — not full catalog. Keep ContactSales; remove “everything unlocked” implication from sales training."
P08-17,P2,improvement,ops,AWS Marketplace as GTM strategy is fake hard before direct pitch is known,S (decision),no,synthesis do-not-prioritize Marketplace,08-ben-horowitz.md,Park public listing until two direct paid conversions and one reference. Keep integration code; do not staff Marketplace GTM.
P08-18,P1,innovation,gtm,North-star metric is correct — instrument and govern it as the only wartime KPI,M,no,theme (north-star vs surface),08-ben-horowitz.md,Single company dashboard: tenants with ≥1 measured loop this week; design-partner session pass rate; paid/invoice conversions; referenceable tenants. Demote 94-row score progress to engineering sub-metric under Slice completion — not GTM vanity.
P08-19,P2,bug,gtm,Dual nav configs create dual product stories for buyers and PMs,M,yes,U-03,08-ben-horowitz.md,"Delete dual config; one nav source; rename once; tests follow. Align labels to sales kit (Snapshot, Paths, Findings, Remediation, Proof)."
P08-20,P1,request,gtm,Hire / assign a wartime seller who can demo honesty without flinching,L (people) / S (scorecard),no,none  ---,08-ben-horowitz.md,One wartime AE/founder-seller scorecard: never demos scaffold as Available; always ends with measured re-validation or honest gap; quota = closed proof loops + invoice refs. Fire feature requests that force theater.
P09-1,P0,improvement,findings,ValidationState is a theory-of-everything enum,XL,yes,theme (Einstein B−/C ontology); U-02 vocabulary collapse is the UX twin,09-einstein.md,Partition into four closed enums (do not drop values overnight — adapter maps): (1) **PathOutcome** Discovered|Reachable|Validated|Exploitable|Blocked|Inconclusive; (2) **ControlObservation** (align ControlEffectivenessState); (3) **RemediationLifecycle**; (4) **ReadinessPrerequisite** NeedsApproval|RequiresIntegration|RequiresVerifiedScope|… . Deprecate ValidationState on AttackPath in favor of PathOutcome + EvidenceBasis; keep a transitional union DTO for one release if needed.
P09-2,P0,bug,findings,Path validationState can overclaim; projection silently remaps,L,no,U-06 correlation/Measured receipts; Slice 3,09-einstein.md,Persist claim-safe path outcome (or recompute and refuse writes that set Exploitable without fullyMeasured). Make `deriveAttackPathClaim` the only writer of customer-visible certainty; store raw module hints separately if needed.
P09-3,P1,improvement,findings,Finding identity couples triage to graph UUID,L,no,U-11 fingerprints/occurrence; Slice 4,09-einstein.md,Document findings as **projection + disposition overlay**. Long-term: disposition keyed by `fingerprint` (with optional pathId/signalId links); short-term: stop equating findingId with pathId in new code paths; surface fingerprint as primary id in API docs.
P09-4,P1,bug,findings,occurrenceCount / merge semantics incomplete at emit time,M,no,U-11,09-einstein.md,Make fingerprint + groupKey required on new emissions; run merge inside `listValidatedFindings` as the only public shape; never expose pre-merge rows without `occurrenceCount`.
P09-5,P1,improvement,other,Scope vs Asset: authorization and inventory lack a durable join,L,yes,Slice 6; practitioner “authorized targets home”,09-einstein.md,Add durable binding (table or JSON authorized keys on Scope) with lifecycle: discovered-in-scope | authorized | rejected. Ownership review remains judgment; binding is physics. Prefer one UI: Assets & Scope.
P09-6,P1,improvement,other,Inventory multiverse: Asset vs AssetInventoryEntry vs ScopeAssetClass vs tags,L,yes,U-16 Labs/swarm demotion; Palantir “kill swarm theater”,09-einstein.md,Make living map a **query projection** over Asset + GraphNode + source observations. Collapse K8s→Kubernetes (or inverse). Deprecate AssetInventoryEntry as a persisted concept; keep only as DTO of a query. Label any $$ multiplier as fixture/demo unless tied to AssetValuationVersion.
P09-7,P1,improvement,other,Threat dual stack without subsumption law,L,yes,U-23,09-einstein.md,Document and implement subsumption: **ThreatIntelItem (global particle) → TenantThreatAlert (relevance) → ThreatAdvisory (curated workflow) → MissingSignal/ValidationPlan**. One nav object “Threats” with feed vs program tabs. Prefer linking advisory.externalId to intel.canonicalKey.
P09-8,P1,improvement,engines,"Control language quadruple (edges, ControlState, Verdict, Effectiveness)",L,yes,Slice 5; Blue team control plane,09-einstein.md,**ControlEffectivenessState is the only product-visible control atom.** Map: verdict→effectiveness (existing doc); edge relationship→effectiveness (one pure function); retire ControlState from new APIs; ValidationState must not store control outcomes long-term (P09-1).
P09-9,P1,improvement,findings,Risk score multiverse without composition law,L,no,none (deepens Einstein prior §5.4),09-einstein.md,"Publish composition law in shared package: `priorityScore = f(pathRisk | signalRiskBase, missingSignalImpact, disposition)`. One primary number per UX surface. Separate **money** (FAIR) from **priority** (0–100) from **certainty** (claim). Remove Fixed from RiskBand; use remediation/verification status for closure."
P09-10,P1,improvement,other,Mission / Scenario / Pillar / sourceMotion quadruple taxonomy,M,yes,U-02; Gartner/Forrester packaging vs execution,09-einstein.md,"**One operational type** for runs (MissionType or ScenarioType — pick one). Pillars = tags on packs/modules only. sourceMotion = derived tag for findings from module category, never hardcode APT for all paths. Map EXV pillar ↔ ExposureValidation explicitly in docs."
P09-11,P1,improvement,nav,ProofLoopStage vs CTEMStage vs marketing loop — three clocks,M,yes,U-02,09-einstein.md,"One canonical stage enum (prefer product Proof Loop or CTEM — pick and map the other as alias). Store only aliases in UI copy tables, not dual schemas forever."
P09-12,P0,improvement,remediation,"“Fixed” multiverse — one word, many truth conditions",L,no,excellence theme “Fixed only after retest” — protect by closing loopholes,09-einstein.md,Reserve **Fixed** exclusively for verification-gated fields. Rename residual path/exposure states to `VerifiedClosed` / `StillOpen` language; RiskBand drops Fixed (P09-9); finding status Fixed only when linked verification exists (enforce in builder).
P09-13,P2,improvement,api,RelatedEntityType as universal type system (platform sprawl),M,yes,U-16 Autonomous/MCP on rail; Palantir ontology fund,09-einstein.md,"Split **RiskRelatedEntityType** (Asset, Identity, Exposure, Path, ControlSource, Scope, …) from **PlatformRelatedEntityType** (webhooks, model gateway, tool promotion). GraphNode.relatedEntityType only risk subset."
P09-14,P2,improvement,other,GraphNode.nodeType free string vs PathNode.entityType enum,M,no,none,09-einstein.md,"Constrain nodeType to a small closed set (Asset, Identity, Control, Exposure, Hypothesis, EvidenceAnchor) orthogonal to relatedEntityType. Keep hypothesis flag first-class."
P09-15,P2,improvement,findings,Exploitability dual enums + control states mapped to exploitability,M,no,none,09-einstein.md,One exploitability enum for product. Control observations never map to Validated exploitability; only path measurement claims do. Risk input uses the same enum or a strict adapter.
P09-16,P2,improvement,api,Enum accretion without partition laws (~100+ z.enums in domain.ts),L,yes,theme feature zoo as model explosion,09-einstein.md,"Split packages/modules: `domain/risk.ts`, `domain/execution.ts`, `domain/platform.ts`, `domain/billing.ts`. Add CONTRIBUTING rule: new status enums must declare which Law they serve and which existing enum they do **not** duplicate."
P09-17,P1,innovation,other,Codify Five Laws as schema/API acceptance gates,S–M,yes,Wave A packaging freeze; Horowitz “freeze surface”,09-einstein.md,Add `docs/ONTOLOGY_LAWS.md` (or Agents.md section) with the five laws + PR checklist: (1) no new top-level entity restating Asset/Signal/Path/Finding/Evidence; (2) no new “state” enum overlapping ValidationState without partition plan; (3) Fixed only via verification; (4) every score cites composition law; (5) pillars/tags not new mission types. Optional: lint test that FindingDisposition schema never includes Fixed (already true — extend to RiskBand).
P09-18,P2,improvement,other,Identity multiverse — Identity vs NHI vs graph Identity with local risk atom,L,yes,none,09-einstein.md,Shared Principal inventory view (type: human|service|workload|key); NHI risk becomes a factor *input* to path/finding priority when the principal is on a path — not a competing dashboard number without composition.
P09-19,P2,feature,other,Exposure as third lifecycle peer of Path and Finding,M,yes,U-03 nav destinations,09-einstein.md,"Document reduction: **Exposure = asset-scoped condition; Path = multi-node narrative; Finding = prioritized work queue projection.** Remediations attach to fingerprint (cause), with optional exposureId/pathId. Avoid third triage queue UI."
P09-20,P1,improvement,nav,Feature zoo is model explosion projected into IA,M,yes,U-03; Jobs; Horowitz; Wave A items 3–5  ---,09-einstein.md,"Nav = **jobs** only: Authorize (Scope+Assets), Validate (Missions/Schedules/Runners), Understand (Paths+Findings+Controls), Act (Remediation), Prove (Evidence+Reports). Everything else Labs/Admin. Delete dual nav config. This is the IA projection of ontology unification — not a separate product problem."
P10-1,P0,bug,security,"mTLS enforcement is opt-in, not production-default",M,no,U-20,10-cisco-cto.md,"Default `PERISCAN_RUNNER_REQUIRE_MTLS=true` whenever `PERISCAN_DEPLOYMENT_ENVIRONMENT=production`; fail readiness (`GET /api/v1/system/deployment-status`) if production and flag off; put the flag in prod compose + deploy runbook as required, not optional."
P10-2,P0,improvement,runners,Dual runners (Go vs TypeScript) without a single enterprise package,L,yes,theme hybrid runner strong / packaging,10-cisco-cto.md,"Publish one **Supported Customer Runner** decision: either (a) collapse to runner-agent + thin native helpers, or (b) Go as production LTS with agent capabilities staged in. Ship one image tag, one deploy guide, one smoke path in `pnpm verify`. Demote the other to “labs/dev”."
P10-3,P1,feature,runners,WindowsService is catalog fiction — no Windows packaging,L,no,none,10-cisco-cto.md,"Either ship a signed Windows service package (WinSW or native) with the same enroll/poll contract and mTLS file paths, **or** remove/relabel `WindowsService` as `Planned` in UI and stop seeding it as a live mode."
P10-4,P1,feature,runners,"ServiceViaProxy channel is a unit-tested SEAM, not a product",XL,no,"U-20 (related residual), theme hybrid",10-cisco-cto.md,"Either fund the control-plane multiplex + lease of scoped proxy channels under signed task envelopes (with soak + kill-switch tests), or explicitly mark ServiceViaProxy **not available** in product UI and remove it from readiness claims until shipped."
P10-5,P1,improvement,ops,Fleet scale and HA are honesty-documented but commercially unproven,L,no,theme scale unproven (P10 prior),10-cisco-cto.md,"Add a fleet soak suite: N simulated runners (100/500/2000), poll+heartbeat+lease under multi-API replicas, publish p95 lease latency and DB connection budgets; document max runners per tenant as an entitlement."
P10-6,P1,feature,ops,"Production deploy/IaC is documentation + single-replica Compose, not enterprise topology",L,no,none,10-cisco-cto.md,"Ship a reference Helm chart (API, worker, web) + optional TF modules for AWS/Azure networking secrets only; keep honesty that DB/Redis/S3 are external; add multi-replica readiness probes already present on API health into the chart defaults."
P10-7,P1,feature,ops,Air-gap / on-prem MCP is product language over fixture modules,XL for real MCP; S for claim hygiene,yes,Real-First / honesty themes,10-cisco-cto.md,"Split product boundaries: (1) **Hybrid SaaS + outbound runner** (real, ship), (2) **Air-gapped MCP** as roadmap with no GA claims until private control-plane packaging + offline module/evidence store exist. Relabel G4 modules as “RemOps planning fixtures,” not on-prem deploy."
P10-8,P1,feature,integrations,Cisco stack depth is thin vs enterprise network reality,L,no,synthesis “expanding connector catalog without GA depth”,10-cisco-cto.md,Prioritize GA depth order: Duo (add contract test) → Umbrella (keep) → Secure Endpoint → Secure Firewall/Firepower logs → then ISE posture as Planned with honest status. Do **not** add Meraki/DNA until top four are contract-tested and live-smoke documented.
P10-9,P1,improvement,integrations,Breadth theater: 267 catalog / 126 “live” / 29 contract-tested,M,yes,U-16 zoo / Horowitz freeze surface,10-cisco-cto.md,"Publish a **GA top-N** list (≤15) with contract tests + live-smoke; demote rest in UI sort; extend enterprise readiness with optional “Network enforcement pack” (Umbrella, Secure Firewall when live, Zscaler/PAN already live)."
P10-10,P1,improvement,gtm,Packaging SKUs under-serve hybrid runners; payment still NotConfigured,M,no,Horowitz packaging / Enterprise buyer,10-cisco-cto.md,"Add a **Hybrid Runner** add-on or Core+ package: metered `RunnerMinutes` + max concurrent runners entitlement; keep full multi-tenant governance on Enterprise. Keep payment contact-sales until processor exists, but make entitlement gates real in API for runner registration count."
P10-11,P1,improvement,security,Result signing is opt-in; unsigned runners still accepted,M,no,U-20 / proof honesty,10-cisco-cto.md,Reject new registrations without result-signing key; grace-period migrate legacy runners; fleet policy flag `minimumResultSigning: required`.
P10-12,P1,improvement,runners,runner-agent lacks production deploy artifacts the Go runner has,M,yes (dual package),P10-2,10-cisco-cto.md,"Mirror deploy tree for runner-agent (or unify image); include non-root, read-only FS, NetworkPolicy, resource limits, secret mounts for mTLS material."
